dProofs53.txt:20840                    9 CNCpCNpqr       DDDD1DD11D11D11DDD1D11D1DD1D1DD1DD11D11D1DD1D111D1111:CNC0CN0.1.2
dProofs55.txt:910                      9 CpCqCrCsq       DD11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0C1C2C3.1
dProofs55.txt:30600                    9 CNCNCpqpr       DDDD1DD11D11D11DDD1D1DD1DD11D11D11DD1DD11D11D1DD1D11111:CNCNC0.1.0.2
dProofs57.txt:23551                    9 CCCpCqqrr       DDD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D11D111:CCC0C1.1.2.2
dProofs65.txt:26014                    9 CpCCpqCrq       DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:C0CC0.1C2.1
dProofs67.txt:33727                    9 CpCNCNpqr       DD1DD1D1DD1DD11D11D1DD1D111D11DDD1D11D1DD1D1DD1DD11D11D1DD1D111D111:C0CNCN0.1.2
dProofs69.txt:239462                   9 CNCNCpqrp       DDD1D1DD1DD1D1DD1DD11D11D1DD1D111D11DD1DD11D11D11DD1DD11D11D1DD1D1111:CNCNC0.1.2.0
dProofs71.txt:355492                   9 CCCpCqprr       DDD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD11DD1DD11D11D1DD1D1111:CCC0C1.0.2.2
dProofs71.txt:704274                   9 CNpCNCpqr       DDDD1D1DD1D1DDD11D111D1DD1D111DD1DD11D11D111DDD1D11DDD11DD1DD11D11D1111:CN0CNC0.1.2
dProofs79.txt:1746275                  9 CCCpCqrqq       DDD1D1DD1DD11D11D1DD1D111D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D1111:CCC0C1.2.1.1
dProofs81.txt:62620                    9 CpCqNNCrq       DD11DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:C0C1NNC2.1
dProofs83-unfiltered83+.txt:997786     9 CpCNCqNrr       DD11DD1DD11D11D1DDD1DD11D11D1DD1D111DD11DD1DD1D1DD1DD11D11D1DD1D111D11DDD1DD11D1111:C0CNC1N2.2
dProofs83-unfiltered83+.txt:3739420    9 CpCqCrCsp       DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0C1C2C3.0
dProofs87-unfiltered83+.txt:14496509   9 CpCqNNCrr       DD1DD1D111DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:C0C1NNC2.2
dProofs89-unfiltered83+.txt:56662159   9 CpNNCqCrr       DDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DDD1D11D111:C0NNC1C2.2
dProofs89-unfiltered83+.txt:86708464   9 NNCpCqCrr       DDDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DD1D11D111:NNC0C1C2.2
dProofs89-unfiltered83+.txt:86708465   9 NNCCpqCpq       DDDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DDD11D1111:NNCC0.1C0.1 [instance of NNCpp]
dProofs89-unfiltered83+.txt:86708466   9 NNCCpqCqq       DDDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DDD1D11111:NNCC0.1C1.1 [instance of NNCpCqq]
dProofs17.txt:6                       10 CpCqCNCrqs      DD11DD1DD11D11D11:C0C1CNC2.1.3
dProofs23.txt:24                      10 CpCqCNCrrs      DD1DD1D111DD1DD11D11D11:C0C1CNC2.2.3
dProofs25.txt:26                      10 CpCNCqCrsr      DD1D11DDD11DD1DD11D11D111:C0CNC1C2.3.2
dProofs25.txt:95                      10 CpCNCqCrrs      DDD1DD11D11D11DDD1D11D111:C0CNC1C2.2.3
dProofs25.txt:140                     10 CNCpCqCrrs      DDDD1DD11D11D11DD1D11D111:CNC0C1C2.2.3
dProofs25.txt:141                     10 CNCCpqCpqr      DDDD1DD11D11D11DDD11D1111:CNCC0.1C0.1.2 [instance of CNCppq]
dProofs25.txt:142                     10 CNCCpqCqqr      DDDD1DD11D11D11DDD1D11111:CNCC0.1C1.1.2 [instance of CNCpCqqr]
dProofs29.txt:18                      10 CCCNpqrCpr      D1DD1D1DD1DD11D11D1DD1D111D11:CCCN0.1.2C0.2
dProofs29.txt:170                     10 CNCCCppqrq      DDD1D1DD1DD11D11D11D1DD1D1111:CNCCC0.0.1.2.1
